Node1	Node2	Edge	support	conflict	snp_count	hg	path
2924	896	1805	0	5	1805	O1a1a2a1a1	896
2015	2016	1	0	0	0		897
2016	2017	2	39	0	2	A1;A00;C1a2	897
2017	2018	3	6	0	3	A1b	897
2018	2019	4	0	37	4	R1a1;BT	897
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	897
2020	2021	6	0	2	6	CF	897
2021	2022	7	1	16	7	F	897
2022	2023	8	0	1	8	F;GHIJK	897
2023	2024	9	0	0	9	HIJK	897
2024	2025	10	0	0	10	IJK	897
2025	2026	11	0	3	11	K~;K	897
2026	2027	12	0	0	12	K2	897
2027	2638	1234	0	1	1234	NO[K2a]	897
2638	2639	1236	0	4	1236	NO[K2a]	897
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	897
2640	2768	1494	0	9	1494	O	897
2768	2913	1784	0	2	1784	O1	897
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	897
2914	2919	1795	0	0	0		897
2919	2921	1799	0	10	1799	O1a1a	897
2921	2922	1800	0	1	1800	O1a1a2	897
2922	2923	1802	0	7	1802	O1a1a2a;O1a1a2a1	897
2923	2924	1804	0	0	1804	O1a1a2a1a	897
2924	2925	1806	0	0	1806	O1a1a2a1a3	897
2925	2926	1807	0	9	1807	O1a1a2a1a3b;L1a2a1b2~	897
2926	897	1808	0	1	1808		897
2015	2016	1	0	0	0		898
2016	2017	2	39	0	2	A1;A00;C1a2	898
2017	2018	3	6	0	3	A1b	898
2018	2019	4	0	37	4	R1a1;BT	898
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	898
2020	2021	6	0	2	6	CF	898
2021	2022	7	1	16	7	F	898
2022	2023	8	0	1	8	F;GHIJK	898
2023	2024	9	0	0	9	HIJK	898
2024	2025	10	0	0	10	IJK	898
2025	2026	11	0	3	11	K~;K	898
2026	2027	12	0	0	12	K2	898
2027	2638	1234	0	1	1234	NO[K2a]	898
2638	2639	1236	0	4	1236	NO[K2a]	898
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	898
2640	2768	1494	0	9	1494	O	898
2768	2913	1784	0	2	1784	O1	898
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	898
2914	2919	1795	0	0	0		898
2919	2921	1799	0	10	1799	O1a1a	898
2921	2922	1800	0	1	1800	O1a1a2	898
2922	2923	1802	0	7	1802	O1a1a2a;O1a1a2a1	898
2923	2924	1804	0	0	1804	O1a1a2a1a	898
2924	2925	1806	0	0	1806	O1a1a2a1a3	898
2925	2926	1807	0	9	1807	O1a1a2a1a3b;L1a2a1b2~	898
2926	2927	1809	0	1	1809		898
2927	898	1810	0	0	1810		898
2015	2016	1	0	0	0		899
2016	2017	2	39	0	2	A1;A00;C1a2	899
2017	2018	3	6	0	3	A1b	899
2018	2019	4	0	37	4	R1a1;BT	899
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	899
2020	2021	6	0	2	6	CF	899
2021	2022	7	1	16	7	F	899
2022	2023	8	0	1	8	F;GHIJK	899
2023	2024	9	0	0	9	HIJK	899
2024	2025	10	0	0	10	IJK	899
2025	2026	11	0	3	11	K~;K	899
2026	2027	12	0	0	12	K2	899
2027	2638	1234	0	1	1234	NO[K2a]	899
2638	2639	1236	0	4	1236	NO[K2a]	899
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	899
2640	2768	1494	0	9	1494	O	899
2768	2913	1784	0	2	1784	O1	899
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	899
2914	2919	1795	0	0	0		899
2919	2921	1799	0	10	1799	O1a1a	899
2921	2922	1800	0	1	1800	O1a1a2	899
2922	2923	1802	0	7	1802	O1a1a2a;O1a1a2a1	899
2923	2924	1804	0	0	1804	O1a1a2a1a	899
2924	2925	1806	0	0	1806	O1a1a2a1a3	899
2925	2926	1807	0	9	1807	O1a1a2a1a3b;L1a2a1b2~	899
2926	2927	1809	0	1	1809		899
2927	2928	1811	0	4	1811		899
2928	899	1812	0	0	0		899
2015	2016	1	0	0	0		900
2016	2017	2	39	0	2	A1;A00;C1a2	900
2017	2018	3	6	0	3	A1b	900
2018	2019	4	0	37	4	R1a1;BT	900
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	900
2020	2021	6	0	2	6	CF	900
2021	2022	7	1	16	7	F	900
2022	2023	8	0	1	8	F;GHIJK	900
2023	2024	9	0	0	9	HIJK	900
2024	2025	10	0	0	10	IJK	900
2025	2026	11	0	3	11	K~;K	900
2026	2027	12	0	0	12	K2	900
2027	2638	1234	0	1	1234	NO[K2a]	900
2638	2639	1236	0	4	1236	NO[K2a]	900
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	900
2640	2768	1494	0	9	1494	O	900
2768	2913	1784	0	2	1784	O1	900
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	900
2914	2919	1795	0	0	0		900
2919	2921	1799	0	10	1799	O1a1a	900
2921	2922	1800	0	1	1800	O1a1a2	900
2922	2923	1802	0	7	1802	O1a1a2a;O1a1a2a1	900
2923	2924	1804	0	0	1804	O1a1a2a1a	900
2924	2925	1806	0	0	1806	O1a1a2a1a3	900
2925	2926	1807	0	9	1807	O1a1a2a1a3b;L1a2a1b2~	900
2926	2927	1809	0	1	1809		900
2927	2928	1811	0	4	1811		900
2928	900	1813	0	0	0		900
2015	2016	1	0	0	0		901
2016	2017	2	39	0	2	A1;A00;C1a2	901
2017	2018	3	6	0	3	A1b	901
2018	2019	4	0	37	4	R1a1;BT	901
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	901
2020	2021	6	0	2	6	CF	901
2021	2022	7	1	16	7	F	901
2022	2023	8	0	1	8	F;GHIJK	901
2023	2024	9	0	0	9	HIJK	901
2024	2025	10	0	0	10	IJK	901
2025	2026	11	0	3	11	K~;K	901
2026	2027	12	0	0	12	K2	901
2027	2638	1234	0	1	1234	NO[K2a]	901
2638	2639	1236	0	4	1236	NO[K2a]	901
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	901
2640	2768	1494	0	9	1494	O	901
2768	2913	1784	0	2	1784	O1	901
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	901
2914	2919	1795	0	0	0		901
2919	2921	1799	0	10	1799	O1a1a	901
2921	2922	1800	0	1	1800	O1a1a2	901
2922	2923	1802	0	7	1802	O1a1a2a;O1a1a2a1	901
2923	2924	1804	0	0	1804	O1a1a2a1a	901
2924	2925	1806	0	0	1806	O1a1a2a1a3	901
2925	2929	1814	0	10	1814	C1b2a;O1a1a2a1a3a	901
2929	2930	1815	0	0	1815		901
2930	901	1816	0	0	0		901
2015	2016	1	0	0	0		902
2016	2017	2	39	0	2	A1;A00;C1a2	902
2017	2018	3	6	0	3	A1b	902
2018	2019	4	0	37	4	R1a1;BT	902
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	902
2020	2021	6	0	2	6	CF	902
2021	2022	7	1	16	7	F	902
2022	2023	8	0	1	8	F;GHIJK	902
2023	2024	9	0	0	9	HIJK	902
2024	2025	10	0	0	10	IJK	902
2025	2026	11	0	3	11	K~;K	902
2026	2027	12	0	0	12	K2	902
2027	2638	1234	0	1	1234	NO[K2a]	902
2638	2639	1236	0	4	1236	NO[K2a]	902
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	902
2640	2768	1494	0	9	1494	O	902
2768	2913	1784	0	2	1784	O1	902
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	902
2914	2919	1795	0	0	0		902
2919	2921	1799	0	10	1799	O1a1a	902
2921	2922	1800	0	1	1800	O1a1a2	902
2922	2923	1802	0	7	1802	O1a1a2a;O1a1a2a1	902
2923	2924	1804	0	0	1804	O1a1a2a1a	902
2924	2925	1806	0	0	1806	O1a1a2a1a3	902
2925	2929	1814	0	10	1814	C1b2a;O1a1a2a1a3a	902
2929	2930	1815	0	0	1815		902
2930	902	1817	0	0	1817		902
2015	2016	1	0	0	0		903
2016	2017	2	39	0	2	A1;A00;C1a2	903
2017	2018	3	6	0	3	A1b	903
2018	2019	4	0	37	4	R1a1;BT	903
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	903
2020	2021	6	0	2	6	CF	903
2021	2022	7	1	16	7	F	903
2022	2023	8	0	1	8	F;GHIJK	903
2023	2024	9	0	0	9	HIJK	903
2024	2025	10	0	0	10	IJK	903
2025	2026	11	0	3	11	K~;K	903
2026	2027	12	0	0	12	K2	903
2027	2638	1234	0	1	1234	NO[K2a]	903
2638	2639	1236	0	4	1236	NO[K2a]	903
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	903
2640	2768	1494	0	9	1494	O	903
2768	2913	1784	0	2	1784	O1	903
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	903
2914	2919	1795	0	0	0		903
2919	2921	1799	0	10	1799	O1a1a	903
2921	2922	1800	0	1	1800	O1a1a2	903
2922	2923	1802	0	7	1802	O1a1a2a;O1a1a2a1	903
2923	2924	1804	0	0	1804	O1a1a2a1a	903
2924	2925	1806	0	0	1806	O1a1a2a1a3	903
2925	2929	1814	0	10	1814	C1b2a;O1a1a2a1a3a	903
2929	903	1818	0	0	1818		903
2015	2016	1	0	0	0		904
2016	2017	2	39	0	2	A1;A00;C1a2	904
2017	2018	3	6	0	3	A1b	904
2018	2019	4	0	37	4	R1a1;BT	904
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	904
2020	2021	6	0	2	6	CF	904
2021	2022	7	1	16	7	F	904
2022	2023	8	0	1	8	F;GHIJK	904
2023	2024	9	0	0	9	HIJK	904
2024	2025	10	0	0	10	IJK	904
2025	2026	11	0	3	11	K~;K	904
2026	2027	12	0	0	12	K2	904
2027	2638	1234	0	1	1234	NO[K2a]	904
2638	2639	1236	0	4	1236	NO[K2a]	904
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	904
2640	2768	1494	0	9	1494	O	904
2768	2913	1784	0	2	1784	O1	904
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	904
2914	2919	1795	0	0	0		904
2919	2921	1799	0	10	1799	O1a1a	904
2921	2931	1819	0	2	1819	O1a1a1	904
2931	2932	1820	0	2	1820	O1a1a1b;O1a1a1b1	904
2932	904	1821	0	3	1821	C1a2b1b1;O1a1a1b1a;O1a1a1b1a1	904
2015	2016	1	0	0	0		905
2016	2017	2	39	0	2	A1;A00;C1a2	905
2017	2018	3	6	0	3	A1b	905
2018	2019	4	0	37	4	R1a1;BT	905
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	905
2020	2021	6	0	2	6	CF	905
2021	2022	7	1	16	7	F	905
2022	2023	8	0	1	8	F;GHIJK	905
2023	2024	9	0	0	9	HIJK	905
2024	2025	10	0	0	10	IJK	905
2025	2026	11	0	3	11	K~;K	905
2026	2027	12	0	0	12	K2	905
2027	2638	1234	0	1	1234	NO[K2a]	905
2638	2639	1236	0	4	1236	NO[K2a]	905
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	905
2640	2768	1494	0	9	1494	O	905
2768	2913	1784	0	2	1784	O1	905
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	905
2914	2919	1795	0	0	0		905
2919	2921	1799	0	10	1799	O1a1a	905
2921	2931	1819	0	2	1819	O1a1a1	905
2931	2932	1820	0	2	1820	O1a1a1b;O1a1a1b1	905
2932	2933	1822	0	1	1822	O1a1a1b1b;L1a1	905
2933	905	1823	0	6	1823	J2b	905
2015	2016	1	0	0	0		906
2016	2017	2	39	0	2	A1;A00;C1a2	906
2017	2018	3	6	0	3	A1b	906
2018	2019	4	0	37	4	R1a1;BT	906
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	906
2020	2021	6	0	2	6	CF	906
2021	2022	7	1	16	7	F	906
2022	2023	8	0	1	8	F;GHIJK	906
2023	2024	9	0	0	9	HIJK	906
2024	2025	10	0	0	10	IJK	906
2025	2026	11	0	3	11	K~;K	906
2026	2027	12	0	0	12	K2	906
2027	2638	1234	0	1	1234	NO[K2a]	906
2638	2639	1236	0	4	1236	NO[K2a]	906
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	906
2640	2768	1494	0	9	1494	O	906
2768	2913	1784	0	2	1784	O1	906
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	906
2914	2919	1795	0	0	0		906
2919	2921	1799	0	10	1799	O1a1a	906
2921	2931	1819	0	2	1819	O1a1a1	906
2931	2932	1820	0	2	1820	O1a1a1b;O1a1a1b1	906
2932	2933	1822	0	1	1822	O1a1a1b1b;L1a1	906
2933	2934	1824	0	0	1824	O1a1a1b1b1	906
2934	906	1825	0	4	1825	O1a1a1b1b1b1;O1a1a1b1b1b;G2a2b2a3b2~	906
2015	2016	1	0	0	0		907
2016	2017	2	39	0	2	A1;A00;C1a2	907
2017	2018	3	6	0	3	A1b	907
2018	2019	4	0	37	4	R1a1;BT	907
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	907
2020	2021	6	0	2	6	CF	907
2021	2022	7	1	16	7	F	907
2022	2023	8	0	1	8	F;GHIJK	907
2023	2024	9	0	0	9	HIJK	907
2024	2025	10	0	0	10	IJK	907
2025	2026	11	0	3	11	K~;K	907
2026	2027	12	0	0	12	K2	907
2027	2638	1234	0	1	1234	NO[K2a]	907
2638	2639	1236	0	4	1236	NO[K2a]	907
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	907
2640	2768	1494	0	9	1494	O	907
2768	2913	1784	0	2	1784	O1	907
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	907
2914	2919	1795	0	0	0		907
2919	2921	1799	0	10	1799	O1a1a	907
2921	2931	1819	0	2	1819	O1a1a1	907
2931	2932	1820	0	2	1820	O1a1a1b;O1a1a1b1	907
2932	2933	1822	0	1	1822	O1a1a1b1b;L1a1	907
2933	2934	1824	0	0	1824	O1a1a1b1b1	907
2934	2935	1826	0	2	1826	O1a1a1b1b1a1;O1a1a1b1b1a;O1a1a1b1b1a1a	907
2935	907	1827	0	0	1827		907
2015	2016	1	0	0	0		908
2016	2017	2	39	0	2	A1;A00;C1a2	908
2017	2018	3	6	0	3	A1b	908
2018	2019	4	0	37	4	R1a1;BT	908
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	908
2020	2021	6	0	2	6	CF	908
2021	2022	7	1	16	7	F	908
2022	2023	8	0	1	8	F;GHIJK	908
2023	2024	9	0	0	9	HIJK	908
2024	2025	10	0	0	10	IJK	908
2025	2026	11	0	3	11	K~;K	908
2026	2027	12	0	0	12	K2	908
2027	2638	1234	0	1	1234	NO[K2a]	908
2638	2639	1236	0	4	1236	NO[K2a]	908
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	908
2640	2768	1494	0	9	1494	O	908
2768	2913	1784	0	2	1784	O1	908
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	908
2914	2919	1795	0	0	0		908
2919	2921	1799	0	10	1799	O1a1a	908
2921	2931	1819	0	2	1819	O1a1a1	908
2931	2932	1820	0	2	1820	O1a1a1b;O1a1a1b1	908
2932	2933	1822	0	1	1822	O1a1a1b1b;L1a1	908
2933	2934	1824	0	0	1824	O1a1a1b1b1	908
2934	2935	1826	0	2	1826	O1a1a1b1b1a1;O1a1a1b1b1a;O1a1a1b1b1a1a	908
2935	908	1828	0	4	1828	O1a1a1b1b1a;O1a1a1b1b;O1a1a1b1b1a1	908
2015	2016	1	0	0	0		909
2016	2017	2	39	0	2	A1;A00;C1a2	909
2017	2018	3	6	0	3	A1b	909
2018	2019	4	0	37	4	R1a1;BT	909
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	909
2020	2021	6	0	2	6	CF	909
2021	2022	7	1	16	7	F	909
2022	2023	8	0	1	8	F;GHIJK	909
2023	2024	9	0	0	9	HIJK	909
2024	2025	10	0	0	10	IJK	909
2025	2026	11	0	3	11	K~;K	909
2026	2027	12	0	0	12	K2	909
2027	2638	1234	0	1	1234	NO[K2a]	909
2638	2639	1236	0	4	1236	NO[K2a]	909
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	909
2640	2768	1494	0	9	1494	O	909
2768	2913	1784	0	2	1784	O1	909
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	909
2914	2919	1795	0	0	0		909
2919	2921	1799	0	10	1799	O1a1a	909
2921	2931	1819	0	2	1819	O1a1a1	909
2931	2936	1829	0	0	1829	O1a1a1a	909
2936	2937	1830	0	4	1830	O1a1a1a1	909
2937	909	1831	0	3	1831		909
2015	2016	1	0	0	0		910
2016	2017	2	39	0	2	A1;A00;C1a2	910
2017	2018	3	6	0	3	A1b	910
2018	2019	4	0	37	4	R1a1;BT	910
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	910
2020	2021	6	0	2	6	CF	910
2021	2022	7	1	16	7	F	910
2022	2023	8	0	1	8	F;GHIJK	910
2023	2024	9	0	0	9	HIJK	910
2024	2025	10	0	0	10	IJK	910
2025	2026	11	0	3	11	K~;K	910
2026	2027	12	0	0	12	K2	910
2027	2638	1234	0	1	1234	NO[K2a]	910
2638	2639	1236	0	4	1236	NO[K2a]	910
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	910
2640	2768	1494	0	9	1494	O	910
2768	2913	1784	0	2	1784	O1	910
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	910
2914	2919	1795	0	0	0		910
2919	2921	1799	0	10	1799	O1a1a	910
2921	2931	1819	0	2	1819	O1a1a1	910
2931	2936	1829	0	0	1829	O1a1a1a	910
2936	2937	1830	0	4	1830	O1a1a1a1	910
2937	2938	1832	0	1	1832	O1a1a1a1a;O1a1a1a1a1;O1a1a1a1a1a	910
2938	910	1833	0	7	1833	O1a1a1a1a1a2a2;O1a1a1a1a1a2a;O1a1a1a1a1a2	910
2015	2016	1	0	0	0		911
2016	2017	2	39	0	2	A1;A00;C1a2	911
2017	2018	3	6	0	3	A1b	911
2018	2019	4	0	37	4	R1a1;BT	911
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	911
2020	2021	6	0	2	6	CF	911
2021	2022	7	1	16	7	F	911
2022	2023	8	0	1	8	F;GHIJK	911
2023	2024	9	0	0	9	HIJK	911
2024	2025	10	0	0	10	IJK	911
2025	2026	11	0	3	11	K~;K	911
2026	2027	12	0	0	12	K2	911
2027	2638	1234	0	1	1234	NO[K2a]	911
2638	2639	1236	0	4	1236	NO[K2a]	911
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	911
2640	2768	1494	0	9	1494	O	911
2768	2913	1784	0	2	1784	O1	911
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	911
2914	2919	1795	0	0	0		911
2919	2921	1799	0	10	1799	O1a1a	911
2921	2931	1819	0	2	1819	O1a1a1	911
2931	2936	1829	0	0	1829	O1a1a1a	911
2936	2937	1830	0	4	1830	O1a1a1a1	911
2937	2938	1832	0	1	1832	O1a1a1a1a;O1a1a1a1a1;O1a1a1a1a1a	911
2938	2939	1834	0	1	1834	O1a1a1a1a1a1	911
2939	2940	1835	0	1	1835	O1a1a1a1a1a1a	911
2940	2941	1836	0	0	1836	O1a1a1a1a1a1a5	911
2941	911	1837	0	4	1837	O1a1a1a1a1a1a5	911
2015	2016	1	0	0	0		912
2016	2017	2	39	0	2	A1;A00;C1a2	912
2017	2018	3	6	0	3	A1b	912
2018	2019	4	0	37	4	R1a1;BT	912
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	912
2020	2021	6	0	2	6	CF	912
2021	2022	7	1	16	7	F	912
2022	2023	8	0	1	8	F;GHIJK	912
2023	2024	9	0	0	9	HIJK	912
2024	2025	10	0	0	10	IJK	912
2025	2026	11	0	3	11	K~;K	912
2026	2027	12	0	0	12	K2	912
2027	2638	1234	0	1	1234	NO[K2a]	912
2638	2639	1236	0	4	1236	NO[K2a]	912
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	912
2640	2768	1494	0	9	1494	O	912
2768	2913	1784	0	2	1784	O1	912
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	912
2914	2919	1795	0	0	0		912
2919	2921	1799	0	10	1799	O1a1a	912
2921	2931	1819	0	2	1819	O1a1a1	912
2931	2936	1829	0	0	1829	O1a1a1a	912
2936	2937	1830	0	4	1830	O1a1a1a1	912
2937	2938	1832	0	1	1832	O1a1a1a1a;O1a1a1a1a1;O1a1a1a1a1a	912
2938	2939	1834	0	1	1834	O1a1a1a1a1a1	912
2939	2940	1835	0	1	1835	O1a1a1a1a1a1a	912
2940	2941	1836	0	0	1836	O1a1a1a1a1a1a5	912
2941	912	1838	0	2	1838	E1b1b1b2b3b~	912
2015	2016	1	0	0	0		913
2016	2017	2	39	0	2	A1;A00;C1a2	913
2017	2018	3	6	0	3	A1b	913
2018	2019	4	0	37	4	R1a1;BT	913
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	913
2020	2021	6	0	2	6	CF	913
2021	2022	7	1	16	7	F	913
2022	2023	8	0	1	8	F;GHIJK	913
2023	2024	9	0	0	9	HIJK	913
2024	2025	10	0	0	10	IJK	913
2025	2026	11	0	3	11	K~;K	913
2026	2027	12	0	0	12	K2	913
2027	2638	1234	0	1	1234	NO[K2a]	913
2638	2639	1236	0	4	1236	NO[K2a]	913
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	913
2640	2768	1494	0	9	1494	O	913
2768	2913	1784	0	2	1784	O1	913
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	913
2914	2919	1795	0	0	0		913
2919	2921	1799	0	10	1799	O1a1a	913
2921	2931	1819	0	2	1819	O1a1a1	913
2931	2936	1829	0	0	1829	O1a1a1a	913
2936	2937	1830	0	4	1830	O1a1a1a1	913
2937	2938	1832	0	1	1832	O1a1a1a1a;O1a1a1a1a1;O1a1a1a1a1a	913
2938	2939	1834	0	1	1834	O1a1a1a1a1a1	913
2939	2940	1835	0	1	1835	O1a1a1a1a1a1a	913
2940	913	1839	0	5	1839		913
2015	2016	1	0	0	0		914
2016	2017	2	39	0	2	A1;A00;C1a2	914
2017	2018	3	6	0	3	A1b	914
2018	2019	4	0	37	4	R1a1;BT	914
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	914
2020	2021	6	0	2	6	CF	914
2021	2022	7	1	16	7	F	914
2022	2023	8	0	1	8	F;GHIJK	914
2023	2024	9	0	0	9	HIJK	914
2024	2025	10	0	0	10	IJK	914
2025	2026	11	0	3	11	K~;K	914
2026	2027	12	0	0	12	K2	914
2027	2638	1234	0	1	1234	NO[K2a]	914
2638	2639	1236	0	4	1236	NO[K2a]	914
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	914
2640	2768	1494	0	9	1494	O	914
2768	2913	1784	0	2	1784	O1	914
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	914
2914	2919	1795	0	0	0		914
2919	2921	1799	0	10	1799	O1a1a	914
2921	2931	1819	0	2	1819	O1a1a1	914
2931	2936	1829	0	0	1829	O1a1a1a	914
2936	2937	1830	0	4	1830	O1a1a1a1	914
2937	2938	1832	0	1	1832	O1a1a1a1a;O1a1a1a1a1;O1a1a1a1a1a	914
2938	2939	1834	0	1	1834	O1a1a1a1a1a1	914
2939	2942	1840	0	0	1840	O1a1a1a1a1a1	914
2942	914	1841	0	4	1841	O1a1a1a1a1a1d1;O1a1a1a1a1a1d1a1;O1a1a1a1a1a1d	914
2015	2016	1	0	0	0		915
2016	2017	2	39	0	2	A1;A00;C1a2	915
2017	2018	3	6	0	3	A1b	915
2018	2019	4	0	37	4	R1a1;BT	915
2019	2020	5	0	35	5	CT;I1a2a1a1d2a1a~;E1b1b1b1a1~;L1a2;E1b1b1b2b2a1a1b~	915
2020	2021	6	0	2	6	CF	915
2021	2022	7	1	16	7	F	915
2022	2023	8	0	1	8	F;GHIJK	915
2023	2024	9	0	0	9	HIJK	915
2024	2025	10	0	0	10	IJK	915
2025	2026	11	0	3	11	K~;K	915
2026	2027	12	0	0	12	K2	915
2027	2638	1234	0	1	1234	NO[K2a]	915
2638	2639	1236	0	4	1236	NO[K2a]	915
2639	2640	1238	0	8	1238	NO1[K1a1];NO1[K1a1]~;NO[K2a]~;H1a2a4~	915
2640	2768	1494	0	9	1494	O	915
2768	2913	1784	0	2	1784	O1	915
2913	2914	1785	0	34	1785	J1a2a1a2d2b2b2c4d2a2a5a1e4a5b1~;O1a	915
2914	2919	1795	0	0	0		915
2919	2921	1799	0	10	1799	O1a1a	915
2921	2931	1819	0	2	1819	O1a1a1	915
2931	2936	1829	0	0	1829	O1a1a1a	915
2936	2937	1830	0	4	1830	O1a1a1a1	915
2937	2938	1832	0	1	1832	O1a1a1a1a;O1a1a1a1a1;O1a1a1a1a1a	915
2938	2939	1834	0	1	1834	O1a1a1a1a1a1	915
2939	2942	1840	0	0	1840	O1a1a1a1a1a1	915
2942	2943	1842	0	0	0		915
2943	915	1843	0	3	1843	O1a1a1a1a1a1b1;O1a1a1a1a1a1b	915
2015	2016	1	0	0	0		916
